,names,scores,logfoldchanges,pvals,pvals_adj,celltype
134457,SEC61A1,3.7540226,0.85726684,0.00017868307251956098,0.0021462295595754202,t_Tn-LEF1
134458,FAM241B,3.7528656,2.1851864,0.0001809787573752366,0.0021714512918187883,t_Tn-LEF1
134459,IL12RB1,3.7528386,1.0147192,0.00017968278804292428,0.002157069008811998,t_Tn-LEF1
134460,CLDN4,3.752418,3.407949,0.00018254169105331466,0.0021866541954214725,t_Tn-LEF1
134461,MARCH2,3.7500222,1.2560261,0.00018188983739069343,0.002180023440250727,t_Tn-LEF1
134462,CSNK1A1,3.7495062,0.59446937,0.00018167271656684624,0.0021785987801171886,t_Tn-LEF1
134463,CRABP2,3.7483401,3.4703662,0.00018560884718691985,0.002218601061280633,t_Tn-LEF1
134464,ECE1,3.7478702,1.1166654,0.00018330908380217607,0.0021934766946279816,t_Tn-LEF1
134465,PNMA1,3.7431161,1.4667358,0.00018714306254916536,0.002234530493216286,t_Tn-LEF1
134466,TRAK2,3.7413206,1.3805008,0.00018842314280857585,0.0022461862072551356,t_Tn-LEF1
134467,WAC,3.740415,0.67172986,0.0001884162312940903,0.0022461862072551356,t_Tn-LEF1
134468,PCSK7,3.738957,0.9010682,0.00018978649199415744,0.002261222937660641,t_Tn-LEF1
134469,CCNT1,3.7371538,0.7703127,0.0001909607676829648,0.002273991998836938,t_Tn-LEF1
134470,ITPR1,3.736933,1.3066936,0.00019165381516148791,0.002281019883830205,t_Tn-LEF1
134471,CHD8,3.736022,1.1016263,0.00019224755410495153,0.0022868589147902844,t_Tn-LEF1
134472,MUS81,3.732992,1.3670467,0.00019476974012532744,0.0023143780534827896,t_Tn-LEF1
134473,SEC11C,3.732196,0.6598938,0.00019464727225964354,0.002314162985422561,t_Tn-LEF1
134474,TNFAIP8,3.7301865,0.48780018,0.00019602471892651887,0.002328042899173917,t_Tn-LEF1
134475,CTDSP1,3.7285972,0.7668368,0.0001974489549645463,0.0023437021833131078,t_Tn-LEF1
134476,TMBIM1,3.7270591,0.70620805,0.0001986199818141806,0.0023563407473332406,t_Tn-LEF1
134477,OGA,3.7252002,0.74062186,0.00020009070026173845,0.002372519303156966,t_Tn-LEF1
134478,HMGA1,3.7247305,0.7099863,0.00020048611442399246,0.0023759372608889284,t_Tn-LEF1
134479,AC020659.1,3.7240565,2.8980134,0.00020353240515442526,0.002409462904158607,t_Tn-LEF1
134480,SPCS3,3.7234142,0.6549471,0.00020143244513598927,0.002385876926282206,t_Tn-LEF1
134481,PHLDA3,3.7231364,4.7529306,0.00020586843667226982,0.002431923732730015,t_Tn-LEF1
134482,EVC2,3.7206557,24.227354,0.0002082796891452639,0.002455175729621444,t_Tn-LEF1
134483,ZDHHC24,3.7199907,1.4538369,0.00020510219672223676,0.002425456537558483,t_Tn-LEF1
134484,ZMYM5,3.7193327,1.0514761,0.0002050582709325558,0.002425456537558483,t_Tn-LEF1
134485,FBXO30,3.718644,3.7138608,0.0002089153290040847,0.002461360037198496,t_Tn-LEF1
134486,RSBN1L,3.7185218,0.6936187,0.0002054034122238961,0.002427723805565271,t_Tn-LEF1
134487,SPP1,3.7183561,2.9406836,0.00020816796424662025,0.002455163974063995,t_Tn-LEF1
134488,LRRC59,3.7175927,0.80356824,0.0002062797770997354,0.0024354853555018283,t_Tn-LEF1
134489,DDA1,3.7171922,0.9605208,0.00020672698322641837,0.0024394664178176554,t_Tn-LEF1
134490,OGG1,3.710509,2.021224,0.00021348764073258613,0.0025138934986530174,t_Tn-LEF1
134491,EDEM1,3.7056282,1.2736773,0.00021685249472526598,0.0025521604912650334,t_Tn-LEF1
134492,KRT7,3.7044194,2.9013748,0.00021986012045609556,0.0025834438001446774,t_Tn-LEF1
134493,MRPL28,3.7001364,1.019429,0.00022117953464242295,0.002597570880098752,t_Tn-LEF1
134494,LRRC58,3.7000809,1.2185365,0.0002214631131675019,0.0025995244088210796,t_Tn-LEF1
134495,ANKHD1,3.6992888,0.77456224,0.00022161103653162191,0.0025998843984209805,t_Tn-LEF1
134496,EIF4G3,3.6989536,1.5838671,0.00022306288674243027,0.002615533256340511,t_Tn-LEF1
134497,USF3,3.6974118,1.5032884,0.00022419838202798745,0.0026274580997391996,t_Tn-LEF1
134498,AJM1,3.691543,24.516272,0.00023331853343133306,0.0027271332850674476,t_Tn-LEF1
